FILE_ID	SENTENCE	GENE	PHENOTYPE	GENE_ID	PHENOTYPE_ID	GENE_START_POSITION	GENE_END_POSITION	PHENOTYPE_START_POSITION	PHENOTYPE_END_POSITION	RELATION	CONFIRMATION	NOTES/TYPES OF UNCERTAIN	NOTES		Count
24120487	<b>Conclusions:</b> The expression of Twist2 in human glioma is positively correlated with the malignant grade of glioma, which may be involved in the malignant progression of glioma by EMT	Twist2	glioma	117581	HP_0009733	38	44	54	60	FALSE	I			C	877
25109669	<b>Methods:</b> A total of 3 502 school-aged children who were included in Beijing Child and Adolescent Metabolic Syndrome (BCAMS) Study were selected, and based on the age and sex specific waist circumference (WC) standards in the BCAMS study, 1 196 central obese cases and 2 306 controls were identified.	sex	central	55558	HP_0030645	177	180	251	258	FALSE	U	Ug5		I	639
28343629	<b>Methods:</b> The fallopian tubes in 58 cases of pelvic HGSC (54 cases of ovarian primary, 3 cases of tubal primary, 1 case of peritoneum) and 25 cases of pelvic non-HGSC (5 cases of ovarian low-grade serous cancer, 9 cases of endometrioid cancer, and 11 cases of clear cell ovary carcinoma) were collected from June 2015 to December 2016, and serially examined under light microscope (SEE-FIM protocol).	light	cancer	8740	HP_0002664	370	375	210	216	FALSE	U	Ug5		U	873
30504766	<b>Methods:</b> Using immunohistochemical method detected the expression level of Twist2 in 60 cases of gliomas (including WHO grades Ⅱ, Ⅲ and Ⅳ, each for 20 cases) and 20 cases of non-tumor brain tissues.	Twist2	tumor	117581	HP_0002664	82	88	185	190	FALSE	I	Ug2		Total	2389
26626801	<b>Objective:</b> To investigate the expression of granulocyte-colony stimulating factor receptor (G-CSFR) in a mouse model of colitis-associated cancer (CAC), and the roles of G-CSFR positive immune cells in the development of CAC.	CAC	cancer	788	HP_0002664	154	157	146	152	FALSE	U	Ug3			%
27767175	<b>Objective:</b> To investigate the genotype-phenotype correlation in Chinese familial hypertrophic cardiomyopathy (HCM )focusing on the cardiac troponin C gene TNNC1 c.	TNNC1	cardiomyopathy	7137	HP_0001638	162	167	101	115	TRUE	C			"C"	36.7
27767175	<b>Objective:</b> To investigate the significance of Twist2 in glioma and whether it is involved in the malignant transformation of glioma by epithelial-mesenchymal transition (EMT).	EMT	glioma	3702	HP_0009733	177	180	63	69	FALSE	U	Ug1		"I"	26.7
29290614	<b>Objective:</b>To investigate the expression and significance of CTHRC1 in patients with papillary thyroid cancinoma.<b>Method:</b>We collected 63 specimens of papillary thyroid carcinoma tissue with 36 specimens of the adjacent normal thyroid tissue and 23 specimens of thyroid nodular goiter.	CTHRC1	papillary thyroid carcinoma	115908	HP_0002895	67	73	162	189	FALSE	I	Ug2		"U"	36.5
25357075	<b>Results</b>: AMACR overexpression was significantly associated with advanced tumor status (<i>P</i>=0.001), advanced nodal status (<i>P</i>=0.036), increased vascular invasion (<i>P</i>=0.026) and increased perineural invasion (<i>P</i>=0.004).	nodal	tumor	4838	HP_0002664	120	125	80	85	TRUE	U	Ug5			
26751395	<b>Results</b>: AMACR overexpression was significantly associated with advanced tumor status (<i>P</i>=0.001), advanced nodal status (<i>P</i>=0.036), increased vascular invasion (<i>P</i>=0.026) and increased perineural invasion (<i>P</i>=0.004).	AMACR	tumor	23600	HP_0002664	16	21	80	85	FALSE	I				Count
28920921	<i>DLEC1</i> methylation was frequently detected in ESCC tumors and correlated with lymph node metastasis, tumor recurrence and progression, with <i>DLEC1</i> as the most frequently methylated among the established 3p22.2 tumor suppressors (<i>RASSF1A, PLCD1</i> and <i>ZMYND10/BLU</i>).	DLEC1	tumor	9940	HP_0002664	3	8	107	112	TRUE	C			Ud	9
